coin,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp
ARB,20240428,5594,0.979353,0.471731,-1.920208,-1.448476,0.471731,-1.752794,-1.281063,0.472159,-1.92116,-1.449001,0.472159,-1.743556,-1.271397,4.643559
ARB,20240501,8834,0.981526,0.572964,-1.558791,-0.985828,0.572964,-1.906491,-1.333528,0.573893,-1.575205,-1.001312,0.573893,-1.906219,-1.332326,7.292521
ARB,20240504,3959,0.966481,0.506861,-1.596389,-1.089528,0.506861,-1.47274,-0.965879,0.50763,-1.605853,-1.098222,0.50763,-1.490373,-0.982743,3.067931
ARB,20240507,4113,0.967056,0.520599,-1.563864,-1.043265,0.520599,-1.570295,-1.049696,0.521229,-1.552288,-1.031059,0.521229,-1.530125,-1.008896,3.86628
ARB,20240510,4804,0.979059,0.531988,-1.481098,-0.94911,0.531988,-1.744358,-1.21237,0.53242,-1.481673,-0.949253,0.53242,-1.741072,-1.208652,4.16983
ARB,20240513,3972,0.979859,0.542506,-1.278918,-0.736413,0.542506,-1.047257,-0.504752,0.542948,-1.266355,-0.723407,0.542948,-1.034231,-0.491283,4.127003
ARB,20240516,3306,0.980551,0.52958,-1.574792,-1.045212,0.52958,-1.605513,-1.075933,0.529743,-1.562715,-1.032972,0.529743,-1.588593,-1.05885,3.455615
ARB,20240519,3308,0.977297,0.532899,-1.305633,-0.772735,0.532899,-1.211026,-0.678128,0.533571,-1.315947,-0.782376,0.533571,-1.225619,-0.692047,3.065218
ARB,20240522,6688,0.985153,0.455661,-1.651787,-1.196126,0.455661,-1.556509,-1.100848,0.455873,-1.64785,-1.191978,0.455873,-1.543,-1.087127,5.22115
ARB,20240525,4947,0.989064,0.42723,-1.703767,-1.276537,0.42723,-1.838754,-1.411524,0.4273,-1.70058,-1.27328,0.4273,-1.82292,-1.39562,3.865224
ARB,20240528,6140,0.987248,0.436128,-1.739926,-1.303799,0.436128,-1.40841,-0.972282,0.436314,-1.73301,-1.296696,0.436314,-1.392281,-0.955967,5.12175
ARB,20240531,4342,0.987517,0.456382,-1.544119,-1.087736,0.456382,-1.713401,-1.257018,0.456575,-1.54814,-1.091565,0.456575,-1.708227,-1.251652,3.634395
ARB,20240603,3455,0.986802,0.452771,-1.363975,-0.911204,0.452771,-1.575852,-1.12308,0.452609,-1.356853,-0.904244,0.452609,-1.546804,-1.094194,3.045943
ARB,20240606,3370,0.989733,0.460309,-1.210344,-0.750035,0.460309,-1.104762,-0.644453,0.460402,-1.216794,-0.756392,0.460402,-1.119248,-0.658846,2.547177
ARB,20240609,1694,0.987072,0.519306,-1.83878,-1.319474,0.519306,-1.834505,-1.315199,0.519389,-1.846131,-1.326742,0.519389,-1.871658,-1.352268,2.732742
ARB,20240612,4608,0.989301,0.676749,-1.472725,-0.795976,0.676749,-1.226633,-0.549884,0.677751,-1.465223,-0.787471,0.677751,-1.250244,-0.572493,4.664772
ARB,20240615,1947,0.985876,0.550027,-1.848017,-1.29799,0.550027,-1.841483,-1.291456,0.550146,-1.819293,-1.269147,0.550146,-1.833461,-1.283315,2.901588
ARB,20240618,7313,0.991125,0.910843,-3.380522,-2.469679,0.910843,-2.733306,-1.822463,0.911407,-3.425238,-2.513831,0.911407,-2.795386,-1.883979,9.416312
ARB,20240621,2859,0.992375,0.639496,-1.738482,-1.098986,0.639496,-1.882951,-1.243456,0.63961,-1.732639,-1.093029,0.63961,-1.882591,-1.242981,4.487105
ARB,20240624,4332,0.987696,0.728043,-2.218873,-1.49083,0.728043,-1.763502,-1.035459,0.728697,-2.200736,-1.472039,0.728697,-1.777026,-1.048329,5.902259
