coin,date,level,mean_markout_bp,n_fills,n_opportunities
AVAX,20240829,3,-1.0526417971935207,14,723944
AVAX,20240829,4,-0.03345159798084796,8,723944
AVAX,20240829,5,4.223924439743029,6,723944
AVAX,20241112,1,-0.7795665566277739,4396,799208
AVAX,20241112,2,0.8560913161405584,788,799208
AVAX,20241112,3,1.0345682201345054,370,799208
AVAX,20241112,4,4.065406741615145,216,799208
AVAX,20241112,5,1.9366946756435772,145,799208
AVAX,20241127,1,-0.7248184344965574,2767,797301
AVAX,20241127,2,-0.04793880065331818,607,797301
AVAX,20241127,3,1.3888021166907456,221,797301
AVAX,20241127,4,1.5870099870272747,118,797301
AVAX,20241127,5,0.44256978922231255,70,797301
AVAX,20241206,1,-0.6916297318689916,2381,801811
AVAX,20241206,2,-0.21727087322738567,678,801811
AVAX,20241206,3,0.8110760956953066,299,801811
AVAX,20241206,4,1.2574666372452292,165,801811
AVAX,20241206,5,2.116228574637715,96,801811
AVAX,20250201,1,-1.2849447745566591,517,738198
AVAX,20250201,2,0.6206713762844385,79,738198
AVAX,20250201,3,-0.5284409756962759,31,738198
AVAX,20250201,4,-1.2582046972633345,22,738198
AVAX,20250201,5,-3.0945091518215655,19,738198
AVAX,20250216,1,-0.5851283608706002,312,751085
AVAX,20250216,2,3.3073914419971553,18,751085
AVAX,20250216,3,0.5872904520129323,5,751085
AVAX,20250216,4,2.9987432419021354,4,751085
AVAX,20250216,5,1.673728229574043,3,751085
AVAX,20250225,1,1.4336178743647234,1076,745403
AVAX,20250225,2,9.598926395590398,72,745403
AVAX,20250225,3,-2.8844031098675216,30,745403
AVAX,20250225,4,6.518401182115389,11,745403
AVAX,20250225,5,3.805503175792006,12,745403
AVAX,20250309,1,-1.1088642945834382,1740,703551
AVAX,20250309,2,-0.5442672078174821,630,703551
AVAX,20250309,3,-0.18443064552990798,403,703551
AVAX,20250309,4,0.4086330893235336,272,703551
AVAX,20250309,5,0.5332515293451817,154,703551
AVAX,20250502,1,-0.17848517884552428,1356,660440
AVAX,20250502,2,-0.9060275202657051,559,660440
AVAX,20250502,3,0.01056603095260516,324,660440
AVAX,20250502,4,0.9502716818129703,200,660440
AVAX,20250502,5,1.687319117294591,100,660440
AVAX,20250722,1,-0.44478621969121546,3658,775388
AVAX,20250722,2,-0.8378680884080564,1292,775388
AVAX,20250722,3,-0.047882899597555637,944,775388
AVAX,20250722,4,-0.17718951112630207,612,775388
AVAX,20250722,5,-0.17841665329703355,414,775388
BNB,20230401,1,-1.2553978452616932,24,550741
BNB,20230401,2,-0.5266323738782389,6,550741
BNB,20230401,3,,0,550741
BNB,20230401,4,,0,550741
BNB,20230401,5,,0,550741
BNB,20230407,1,0.0017958004406851912,20,478252
BNB,20230407,2,1.0749647896139958,6,478252
BNB,20230407,3,1.611146454839154,2,478252
BNB,20230407,4,7.224853496027062,1,478252
BNB,20230407,5,,0,478252
BNB,20230410,1,-0.6455071392914129,22,463469
BNB,20230410,2,,0,463469
BNB,20230410,3,,0,463469
BNB,20230410,4,,0,463469
BNB,20230410,5,,0,463469
BNB,20230416,1,-0.19186037365402797,162,514430
BNB,20230416,2,0.4060870231452948,29,514430
BNB,20230416,3,-1.6994089282514426,6,514430
BNB,20230416,4,10.960906101572725,1,514430
BNB,20230416,5,,0,514430
BNB,20230516,1,-1.0957292414056292,22,418252
BNB,20230516,2,0.07243153153913912,11,418252
BNB,20230516,3,-5.604932340461788,1,418252
BNB,20230516,4,0.8071676487217404,1,418252
BNB,20230516,5,,0,418252
BNB,20230531,1,-1.0161909362695332,32,268779
BNB,20230531,2,0.26766709938371536,6,268779
BNB,20230531,3,,0,268779
BNB,20230531,4,-10.466146042993174,1,268779
BNB,20230531,5,,0,268779
BNB,20230618,1,-0.5373070023315951,65,720802
BNB,20230618,2,0.016145621717399417,6,720802
BNB,20230618,3,,0,720802
BNB,20230618,4,,0,720802
BNB,20230618,5,,0,720802
BNB,20230721,1,-1.3005094550565928,29,290254
BNB,20230721,2,-3.0841986223908147,1,290254
BNB,20230721,3,,0,290254
BNB,20230721,4,,0,290254
BNB,20230721,5,,0,290254
BNB,20230727,1,2.3896321745709392,44,278947
BNB,20230727,2,0.005153814439706861,8,278947
BNB,20230727,3,-1.0369141435079743,1,278947
BNB,20230727,4,,0,278947
BNB,20230727,5,3.1020576982727177,1,278947
BNB,20230826,1,-1.3712341456461674,21,247598
BNB,20230826,2,-1.1546009007907538,2,247598
BNB,20230826,3,,0,247598
BNB,20230826,4,,0,247598
BNB,20230826,5,,0,247598
BNB,20230910,1,-1.8200700113209562,29,323880
BNB,20230910,2,0.5184000838693967,7,323880
BNB,20230910,3,3.544004725339097,2,323880
BNB,20230910,4,,0,323880
BNB,20230910,5,,0,323880
BNB,20230922,1,-6.607945049710461,10,253962
BNB,20230922,2,-1.1739168796999189,2,253962
BNB,20230922,3,,0,253962
BNB,20230922,4,,0,253962
BNB,20230922,5,,0,253962
BNB,20230928,1,-1.2859905878280506,37,321585
BNB,20230928,2,6.9931419761537175,2,321585
BNB,20230928,3,17.48455530947663,1,321585
BNB,20230928,4,19.81582935074071,1,321585
BNB,20230928,5,22.147103392004794,1,321585
BNB,20231130,1,-1.8465243367165123,44,345875
BNB,20231130,2,-0.6550435044658476,5,345875
BNB,20231130,3,-9.89554700384802,1,345875
