coin,date,matched_peak_lag_ms,matched_peak_corr,raw_peak_lag_ms,raw_peak_corr,bybit_cadence_ms,hl_cadence_ms
BNB,20250803,500,0.14834029332067097,500,0.15992047170446036,100.0,545.0
BNB,20250804,750,0.12217987228227704,1000,0.12854193587637122,100.0,545.0
BNB,20250805,250,0.1635749210507005,500,0.1836797994457952,100.0,544.0
BNB,20250806,250,0.17032213298030346,500,0.18518722275236102,100.0,545.0
BNB,20250807,250,0.1537528992448553,500,0.18154316150928806,100.0,544.0
BNB,20250808,500,0.16183674401491396,750,0.185586347637965,100.0,544.0
BNB,20250809,250,0.1743842379384993,500,0.20432486873031455,100.0,545.0
BNB,20250810,500,0.16118792842280097,500,0.18012485334615472,100.0,544.0
BNB,20250811,500,0.18238968941632214,750,0.19325445484343387,100.0,543.0
BNB,20250812,500,0.17646440420968104,500,0.19747426921598618,100.0,543.0
BNB,20250813,500,0.19060404600221834,500,0.20589534188109304,100.0,542.0
BNB,20250814,750,0.16076798241041318,750,0.17730036252627618,100.0,543.0
BNB,20250815,750,0.16214762480713849,1000,0.1651318293387901,100.0,543.0
BNB,20250816,250,0.1683664341738636,500,0.168631419001551,100.0,546.0
BNB,20250817,500,0.17491031776069618,750,0.18521826193670063,100.0,545.0
BNB,20250818,500,0.16558818022401667,750,0.18456053488463964,100.0,543.0
BNB,20250819,750,0.15978212839477557,750,0.1704856064291552,100.0,543.0
BNB,20250820,750,0.19271688843051082,750,0.21172994522794833,100.0,543.0
BTC,20250727,750,0.1571905281066353,1250,0.20158829116930252,100.0,540.0
BTC,20250728,1250,0.15775284267459908,1250,0.1940577762355649,100.0,540.0
BTC,20250729,1250,0.15102492117759297,1250,0.1855469958077885,100.0,540.0
BTC,20250730,1000,0.12644945522167017,1250,0.1557661198806971,100.0,540.0
BTC,20250731,1250,0.15705296279216313,1250,0.20250984876637385,100.0,541.0
BTC,20250801,1250,0.15285792831860476,1250,0.17943206900700664,100.0,541.0
BTC,20250802,1250,0.1673083702929135,1250,0.1989316528046911,100.0,541.0
BTC,20250803,1250,0.14811125745299908,1250,0.1759937077085736,100.0,540.0
BTC,20250804,1000,0.16595602813337634,1250,0.18559905358418194,100.0,540.0
BTC,20250805,1000,0.16352202892943316,1250,0.19279118623985098,100.0,540.0
BTC,20250806,1250,0.16262934296107148,1500,0.1778328590298547,100.0,541.0
BTC,20250807,1250,0.16224010049595083,1250,0.18219990918592097,100.0,540.0
BTC,20250808,1250,0.14073105028506008,1250,0.16979225426411573,100.0,540.0
BTC,20250809,1250,0.1803472742409008,1250,0.19599174457600227,100.0,541.0
BTC,20250810,1000,0.1686786284000929,1250,0.17304053568042643,100.0,540.0
BTC,20250811,1000,0.19575694468805577,1500,0.1934153845341961,100.0,540.0
BTC,20250812,1250,0.14694041902981717,1250,0.17392798679569985,100.0,540.0
BTC,20250813,1250,0.16775290235046775,1250,0.1987285094685987,100.0,540.0
BTC,20250814,1250,0.16823282848039406,1250,0.16721397989556874,100.0,541.0
BTC,20250815,1250,0.17082555067652655,1250,0.19497757817668554,100.0,540.0
BTC,20250816,1000,0.15162578706469929,1250,0.18458642714079151,100.0,540.0
BTC,20250817,1000,0.1667314703147179,1250,0.20385056343733796,100.0,540.0
BTC,20250818,1000,0.16786169862396125,1250,0.19581834450449911,100.0,540.0
BTC,20250819,1250,0.1677163093564852,1250,0.20328472662254374,100.0,540.0
BTC,20250820,1250,0.16796397600251048,1250,0.19984322696808435,100.0,540.0
DOGE,20250727,500,0.1930289981631067,500,0.21632204136537833,100.0,540.0
DOGE,20250728,500,0.20582453373046702,750,0.23671290499957345,100.0,540.0
DOGE,20250729,500,0.1865834529650275,750,0.2184808686003623,100.0,540.0
DOGE,20250730,500,0.17084556771189685,750,0.19629693508295498,100.0,540.0
DOGE,20250731,750,0.1759078585547785,750,0.1871360859818436,100.0,541.0
DOGE,20250801,750,0.16662891022119222,750,0.18367910170101986,100.0,541.0
DOGE,20250802,500,0.20192401547719843,750,0.22211310087757433,100.0,541.0
DOGE,20250803,500,0.19815532839321376,750,0.21874514770062148,100.0,540.0
DOGE,20250804,500,0.18906862602449304,750,0.21638863687293086,100.0,541.0
DOGE,20250805,500,0.18377110766520116,750,0.21445652767575468,100.0,540.0
DOGE,20250806,500,0.18721391061234263,750,0.21568405342915142,100.0,541.0
DOGE,20250807,750,0.18646169004355787,1000,0.20424607692216012,100.0,541.0
DOGE,20250808,750,0.1863469243699949,750,0.2145218731257894,100.0,541.0
DOGE,20250809,750,0.20139584249502845,750,0.21839504801756418,100.0,541.0
DOGE,20250810,500,0.18868861896842978,750,0.2188599918943691,100.0,541.0
DOGE,20250811,750,0.18679962941327072,1000,0.20339047042418448,100.0,540.0
DOGE,20250812,1000,0.17759315668788278,1250,0.19928338549387126,100.0,541.0
DOGE,20250813,500,0.19171891333175745,750,0.21701028995015068,100.0,540.0
DOGE,20250814,750,0.15478679455531988,750,0.17026525268644352,100.0,541.0
DOGE,20250815,500,0.20362557371451567,750,0.23531290674224134,100.0,541.0
DOGE,20250816,500,0.22977243508127432,750,0.2518668175045201,100.0,541.0
DOGE,20250817,500,0.20742909948402488,750,0.23611005785679864,100.0,540.0
DOGE,20250818,500,0.19598598425757155,750,0.2266417402872685,100.0,541.0
DOGE,20250819,500,0.1949854887279789,750,0.22486490156203565,100.0,541.0
DOGE,20250820,500,0.1850835946924061,750,0.2142619162791552,100.0,541.0
ETH,20250727,1000,0.15315506497401035,1250,0.16137547519614187,100.0,540.0
ETH,20250728,1250,0.1807026781040871,1250,0.2256168744839039,100.0,540.0
ETH,20250729,1000,0.15737202786921925,1250,0.1956888855046286,100.0,540.0
ETH,20250730,1250,0.14324915260336266,1250,0.16042250612746356,100.0,540.0
ETH,20250731,1000,0.16610487430167262,1250,0.19148848239568722,100.0,540.0
ETH,20250801,1250,0.16174820101447968,1250,0.182725886698186,100.0,541.0
ETH,20250802,1000,0.17542725458866304,1250,0.20954378754665265,100.0,540.0
ETH,20250803,1000,0.17820949432005098,1000,0.19660435105169496,100.0,540.0
ETH,20250804,750,0.1707972579740386,1250,0.19467841617676784,100.0,540.0
ETH,20250805,1000,0.17270045044012927,1250,0.19769807458775185,100.0,540.0
ETH,20250806,1000,0.16787493443633983,1250,0.21272338391757772,100.0,540.0
ETH,20250807,750,0.1866486108490638,1250,0.21477696985821523,100.0,540.0
ETH,20250808,1250,0.16768244243882277,1250,0.19640428149413527,100.0,540.0
ETH,20250809,750,0.16759781256126885,1250,0.198531717027094,100.0,540.0
ETH,20250810,1000,0.19360756626044184,1250,0.2184133182130589,100.0,540.0
ETH,20250811,1000,0.18675892503048855,1250,0.21345413355928647,100.0,540.0
ETH,20250812,1000,0.1889087736778633,1250,0.1985202314217222,100.0,540.0
ETH,20250813,1000,0.18849567532239023,1250,0.21223520100324902,100.0,540.0
ETH,20250814,1250,0.10805838621902242,1250,0.11637303441078,100.0,541.0
ETH,20250815,1000,0.19534344054210112,1250,0.22540769689343607,100.0,540.0
ETH,20250816,1000,0.19388573706802253,1250,0.21226946029905924,100.0,540.0
ETH,20250817,1000,0.1792805638656227,1250,0.20528223482246288,100.0,539.0
ETH,20250818,1000,0.19920907848911143,1250,0.2272120714105549,100.0,540.0
ETH,20250819,1000,0.1828079240131157,1250,0.21005960469133603,100.0,540.0
ETH,20250820,1000,0.17388539479762669,1250,0.201362153342699,100.0,540.0
HYPE,20250727,750,0.12013769572987885,1250,0.13248168734624127,100.0,541.0
HYPE,20250728,750,0.15165656835810712,1250,0.1610970913575448,100.0,540.0
HYPE,20250729,750,0.0729400263141642,1000,0.07494964132005358,100.0,540.0
HYPE,20250730,1000,0.11622845504142053,1250,0.1289946003239666,100.0,540.0
HYPE,20250731,1000,0.1557137130678985,1250,0.17131598426412847,100.0,541.0
HYPE,20250801,1250,0.14466788910453968,1250,0.16356354028790998,100.0,541.0
HYPE,20250802,750,0.14467855997716195,1250,0.15581298511711097,100.0,541.0
HYPE,20250803,1000,0.14180964354782372,1250,0.15899887866747087,100.0,540.0
HYPE,20250804,1000,0.12827475370513292,1000,0.13811579315323025,100.0,540.0
HYPE,20250805,1000,0.13760755241855346,1250,0.13738642377381785,100.0,540.0
HYPE,20250806,250,0.12003173495782145,1000,0.11599390740079403,100.0,541.0
HYPE,20250807,750,0.12094438715513188,1000,0.12659202287485616,100.0,540.0
HYPE,20250808,1000,0.133246740233541,1250,0.1472270435229029,100.0,540.0
HYPE,20250809,-250,0.12980433816955372,1250,0.15363879002683625,100.0,541.0
HYPE,20250810,0,0.11951083667755888,0,0.13296589176947568,100.0,540.0
HYPE,20250811,1000,0.13322980212851085,1250,0.15259341469965423,100.0,540.0
HYPE,20250812,1000,0.13997000075167745,1250,0.14384596448637826,100.0,541.0
HYPE,20250813,1000,0.15653708150860282,1250,0.1665160985356042,100.0,540.0
HYPE,20250814,-250,0.055403043272151876,-250,0.05163551186359193,100.0,541.0
HYPE,20250815,1000,0.15208895412049833,1250,0.16334872571829137,100.0,540.0
HYPE,20250816,1000,0.12998472438014122,1250,0.15789506866506312,100.0,541.0
HYPE,20250817,1000,0.1376026706132608,1250,0.16439587220403465,100.0,540.0
HYPE,20250818,1000,0.14020326582421908,1250,0.14956804523375153,100.0,541.0
HYPE,20250819,1250,0.14144019167664212,1250,0.1557186843249733,100.0,541.0
HYPE,20250820,1000,0.14267039535975648,1250,0.15993555770261228,100.0,541.0
LINK,20250727,500,0.2002100451291381,500,0.22536956341799153,100.0,542.0
LINK,20250728,500,0.20549913825322458,750,0.2399891727594762,100.0,541.0
LINK,20250729,500,0.18873214616164327,500,0.2143106894088457,100.0,541.0
LINK,20250730,500,0.1803746887409296,500,0.2166956692252719,100.0,542.0
LINK,20250731,500,0.1843512715603747,500,0.21786660287344928,100.0,543.0
LINK,20250801,500,0.17188673031569487,750,0.19664970630749426,100.0,542.0
LINK,20250802,500,0.20988873243320133,500,0.23987114743345717,100.0,543.0
LINK,20250803,250,0.19689608964925395,500,0.23123617686351144,100.0,543.0
LINK,20250804,250,0.2036508901473321,500,0.236562885583571,100.0,542.0
LINK,20250805,250,0.20054012946715694,500,0.23567497525898676,100.0,542.0
LINK,20250806,500,0.20421852137810148,500,0.24555899953622456,100.0,543.0
LINK,20250807,500,0.20327377854746717,500,0.2346381183606864,100.0,541.0
LINK,20250808,500,0.19223194497020826,750,0.21592297019894646,100.0,541.0
LINK,20250809,500,0.22189504574655633,750,0.24001995563158973,100.0,541.0
LINK,20250810,750,0.18896826594451352,750,0.20648343898930535,100.0,541.0
LINK,20250811,500,0.1947971955114418,750,0.21858583828332054,100.0,541.0
LINK,20250812,500,0.19223085202558193,750,0.22009559948523277,100.0,541.0
LINK,20250813,750,0.18722886400036784,750,0.20541625147815545,100.0,541.0
LINK,20250814,500,0.11958659219141425,500,0.12829678149151452,100.0,542.0
LINK,20250815,500,0.21094984494342986,750,0.23727818116664567,100.0,541.0
LINK,20250816,250,0.22722846418184317,500,0.2707346536172116,100.0,541.0
LINK,20250817,500,0.2349728837288801,750,0.25989916618686437,100.0,540.0
LINK,20250818,500,0.22577357265097378,750,0.25750644589662636,100.0,540.0
LINK,20250819,500,0.23229177362178852,750,0.2554320762040053,100.0,541.0
LINK,20250820,500,0.2186238674298141,750,0.2481437000402985,100.0,540.0
LTC,20250727,250,0.17157701466761355,500,0.19473410272178374,100.0,544.0
LTC,20250728,500,0.16006256351617765,500,0.17174669166284134,100.0,542.0
LTC,20250729,500,0.163981361355974,750,0.17382421775638088,100.0,543.0
LTC,20250730,1000,0.03627319289666076,1000,0.05526594721293013,100.0,543.0
LTC,20250731,750,0.1598799584357375,750,0.17334300274466702,100.0,544.0
LTC,20250801,750,0.16119417582128223,750,0.1755342970525146,100.0,542.0
LTC,20250802,750,0.2111561041894687,1000,0.21278700933415784,100.0,542.0
LTC,20250803,500,0.20468001578220094,750,0.2169488176298715,100.0,543.0
LTC,20250804,500,0.2348748285831864,750,0.25046161135244877,100.0,542.0
LTC,20250805,500,0.19953769738263885,750,0.21870158881882193,100.0,541.0
LTC,20250806,500,0.21167277400746526,750,0.22723789257211477,100.0,542.0
LTC,20250807,500,0.21573146560190193,750,0.2372923980001662,100.0,542.0
LTC,20250808,500,0.2140701720547197,750,0.23885775758946878,100.0,542.0
LTC,20250809,500,0.18689334150409004,750,0.20869152346196382,100.0,543.0
LTC,20250810,750,0.18735155154374833,750,0.2054571063745607,100.0,542.0
LTC,20250811,750,0.20864898393643427,750,0.22770553195710594,100.0,541.0
LTC,20250812,500,0.20517019754109356,500,0.22108925937875093,100.0,542.0
LTC,20250813,500,0.17970836951761726,750,0.200363261321194,100.0,542.0
LTC,20250814,750,0.15626279351319544,750,0.17706664620476936,100.0,542.0
LTC,20250815,500,0.1790988430123707,750,0.20463853000657872,100.0,543.0
LTC,20250816,500,0.21588035032084366,500,0.23166498600867588,100.0,544.0
LTC,20250817,250,0.19730834502774072,500,0.2286084992212218,100.0,544.0
LTC,20250818,500,0.18649418063500564,750,0.2134977398296712,100.0,543.0
LTC,20250819,500,0.1810598159435483,750,0.20265665082345624,100.0,543.0
LTC,20250820,500,0.19020104503801064,750,0.1997240157826916,100.0,543.0
OP,20250727,250,0.1958384354192008,500,0.2210673996135819,100.0,546.0
OP,20250728,1250,0.38558633529294195,500,0.3665344348641152,100.0,541.0
OP,20250729,500,0.18732364390535292,750,0.20898357488091623,100.0,543.0
OP,20250730,500,0.18460987435733447,750,0.20014124828845845,100.0,544.0
OP,20250731,500,0.17650660453806974,750,0.18926319248475376,100.0,545.0
OP,20250801,500,0.1590494187170651,750,0.17262377531796724,100.0,544.0
OP,20250802,500,0.18216369587830325,500,0.18976633578964508,100.0,546.0
OP,20250803,250,0.16446115311810577,500,0.17992142661261773,100.0,551.0
OP,20250804,250,0.16344373261747416,500,0.18381426388681066,100.0,547.0
OP,20250805,500,0.17649770586155147,500,0.19918797414818148,100.0,547.0
OP,20250806,500,0.17681777544535987,500,0.2059138904803342,100.0,549.0
OP,20250807,250,0.18076512476548368,500,0.20433703183718344,100.0,548.0
OP,20250808,500,0.19735106632814833,750,0.21561027154567378,100.0,545.0
OP,20250809,250,0.1936229277897352,500,0.21467001840228667,100.0,547.0
OP,20250810,500,0.18498699524364862,500,0.20464088525592292,100.0,546.0
OP,20250811,1000,0.15895973769916594,750,0.17424956208266626,100.0,545.0
OP,20250812,500,0.1572829758485559,750,0.17645088540822373,100.0,545.0
OP,20250813,500,0.1698244573664731,750,0.18698068301660617,100.0,544.0
OP,20250814,750,0.13911165941974757,750,0.13840055731106649,100.0,545.0
OP,20250815,500,0.16530866694150242,750,0.1796622094646059,100.0,546.0
OP,20250816,250,0.18519764749752235,500,0.2116848550376287,100.0,548.0
OP,20250817,500,0.1671849724500196,500,0.18688346692548566,100.0,546.0
OP,20250818,500,0.17027740000127306,750,0.18783719726391082,100.0,546.0
OP,20250819,500,0.16684307401807494,500,0.1774704849081472,100.0,547.0
OP,20250820,500,0.1667820458627599,750,0.1689217997526821,100.0,548.0
SOL,20250727,750,0.17906971202510388,1000,0.2110285602535014,100.0,540.0
SOL,20250728,750,0.20339378546705944,1000,0.22739971485564406,100.0,540.0
SOL,20250729,1000,0.17733317253793693,1250,0.2119616212953356,100.0,540.0
SOL,20250730,750,0.11836922325069169,1250,0.12641031277470774,100.0,540.0
SOL,20250731,1000,0.17142238698391415,1250,0.2055313671104665,100.0,540.0
SOL,20250801,1250,0.17051065885192482,1250,0.20000962010159085,100.0,541.0
SOL,20250802,1000,0.17878614485076555,1250,0.20345416405619712,100.0,541.0
SOL,20250803,1000,0.18450698329922818,1000,0.20216104378655453,100.0,540.0
SOL,20250804,750,0.18333400520245258,1000,0.2079687102261167,100.0,540.0
SOL,20250805,750,0.19511807431108066,1250,0.22136176921728373,100.0,540.0
SOL,20250806,750,0.1987149069764775,1000,0.21377984338064196,100.0,540.0
SOL,20250807,750,0.20099014432433893,1000,0.22649760915787095,100.0,540.0
SOL,20250808,750,0.19046090056783277,1250,0.2264217769697564,100.0,540.0
SOL,20250809,1000,0.18941676595242735,1250,0.22223390623052247,100.0,540.0
SOL,20250810,1000,0.1973829436347783,1250,0.21418193231881283,100.0,540.0
SOL,20250811,750,0.18635010193559046,1250,0.21650946944120666,100.0,540.0
SOL,20250812,1000,0.1870412819293901,1250,0.20325668151001355,100.0,540.0
SOL,20250813,1000,0.19307958122537894,1000,0.2096216595572532,100.0,540.0
SOL,20250814,750,0.14828342161568017,1250,0.16277131889722526,100.0,541.0
SOL,20250815,1000,0.19507987918717123,1250,0.21282649734049774,100.0,540.0
SOL,20250816,750,0.19847779425448386,1000,0.23127716171421062,100.0,540.0
SOL,20250817,750,0.19432941725273667,1000,0.2302368883414598,100.0,540.0
SOL,20250818,750,0.19289415282538275,1000,0.22675004836651272,100.0,540.0
SOL,20250819,750,0.18548092040489236,1250,0.21341912740576938,100.0,540.0
SOL,20250820,750,0.1886290753608926,1000,0.21353875673232084,100.0,540.0
SUI,20250727,750,0.17904651090691126,750,0.19732109194033204,100.0,541.0
SUI,20250728,500,0.17585705753037797,750,0.19645084081558273,100.0,540.0
SUI,20250729,500,0.13999675583510596,750,0.1532754057067966,100.0,541.0
SUI,20250730,500,0.16000707767018063,750,0.1806775906910211,100.0,540.0
SUI,20250731,500,0.1695594181907948,750,0.18480162020806565,100.0,541.0
SUI,20250801,750,0.15989576478598036,750,0.17916480056159206,100.0,541.0
SUI,20250802,500,0.18079433992170227,750,0.1978372802909498,100.0,542.0
SUI,20250803,500,0.17694609662483085,750,0.2006712284148184,100.0,541.0
SUI,20250804,500,0.1883257222023156,750,0.21039431630149177,100.0,540.0
SUI,20250805,500,0.18199508609780482,750,0.20705963249002113,100.0,541.0
SUI,20250806,500,0.17926297776936248,750,0.2048125345570883,100.0,542.0
