venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,ARB,20250817,1000,4478,0.9803480458883354,-1.8569692674009177,-0.876621221512582
bybit_perp,ARB,20250817,2000,3887,0.9852094351869038,-1.815262518508931,-0.8300530833220273
bybit_perp,ARB,20250817,5000,2978,0.9891253510851852,-1.730819224178849,-0.7416938730936634
bybit_perp,ARB,20250817,10000,2288,0.9908469088546877,-1.334551695370055,-0.3437047865153672
bybit_perp,ARB,20250818,100,4273,0.9757810312870951,-2.189470167252303,-1.2136891359652082
bybit_perp,ARB,20250818,250,3532,0.9908203503007019,-2.0432423563212527,-1.0524220060205507
bybit_perp,ARB,20250818,500,3235,0.9889908591836076,-1.9521255420780406,-0.9631346828944327
bybit_perp,ARB,20250818,1000,2871,0.9912075113414247,-1.8838566890924255,-0.8926491777510009
bybit_perp,ARB,20250818,2000,2521,0.994027439231683,-1.8880461689594008,-0.8940187297277177
bybit_perp,ARB,20250818,5000,1959,0.9863453806388476,-1.7503395679448024,-0.7639941873059549
bybit_perp,ARB,20250818,10000,1501,0.9902445293501579,-1.6258178236654144,-0.6355732943152562
bybit_perp,ARB,20250819,100,4537,1.0191304333580589,-1.6531456874830044,-0.6340152541249454
bybit_perp,ARB,20250819,250,3779,1.0317251826212395,-1.6919643557539976,-0.6602391731327579
bybit_perp,ARB,20250819,500,3439,1.0326343181402804,-1.6293989660389185,-0.5967646478986381
bybit_perp,ARB,20250819,1000,2963,1.0330605038668426,-1.6457745675682176,-0.6127140637013753
bybit_perp,ARB,20250819,2000,2576,1.0329591887146248,-1.7265644189481697,-0.693605230233545
bybit_perp,ARB,20250819,5000,1956,1.0320437595178593,-1.5567937389342206,-0.5247499794163615
bybit_perp,ARB,20250819,10000,1459,1.0309327376805748,-1.286982492569802,-0.25604975488922704
bybit_perp,ARB,20250820,100,3334,1.0209293625916196,-1.9133205942796025,-0.892391231687983
bybit_perp,ARB,20250820,250,2839,1.0368740500334395,-1.9670638289650186,-0.930189778931579
bybit_perp,ARB,20250820,500,2652,1.036002106591343,-1.9463176258176687,-0.9103155192263256
