coin,date,block,regime,capture_sum,adverse_sum,net_sum,n_fills
AVAX,20241001,us,mid,0.029209956526756287,-0.07242454588413239,-0.0432145856320858,301.0
AVAX,20241001,us,stress,0.046296291053295135,-0.1367514580488205,-0.09045515209436417,463.0
AVAX,20241010,asia,calm,0.0081525519490242,-0.019140413030982018,-0.010987860150635242,85.0
AVAX,20241010,asia,mid,0.0031113536097109318,-0.007193980272859335,-0.004082626663148403,32.0
AVAX,20241010,europe,calm,0.005562514532357454,-0.014373398385941982,-0.008810884319245815,58.0
AVAX,20241010,europe,mid,0.03328249603509903,-0.07517001032829285,-0.04188751429319382,341.0
AVAX,20241010,us,calm,0.006439738441258669,-0.011949071660637856,-0.005509332753717899,65.0
AVAX,20241010,us,mid,0.018096012994647026,-0.03433820605278015,-0.016242191195487976,183.0
AVAX,20241019,asia,calm,0.007260666694492102,-0.014444026164710522,-0.00718335947021842,81.0
AVAX,20241019,asia,mid,0.0012440814170986414,-0.003908995073288679,-0.0026649136561900377,14.0
AVAX,20241019,asia,stress,0.0009761137771420181,0.001420265412889421,0.002396379131823778,11.0
AVAX,20241019,europe,calm,0.007605053950101137,-0.014866093173623085,-0.007261037360876799,85.0
AVAX,20241019,us,calm,0.005979258567094803,-0.008380738086998463,-0.00240147951990366,67.0
AVAX,20241025,asia,calm,0.012675335630774498,-0.01915544643998146,-0.0064801122061908245,132.0
AVAX,20241025,asia,mid,0.0012408369220793247,-0.002859564032405615,-0.001618727226741612,13.0
AVAX,20241025,europe,calm,0.00842459499835968,-0.01408577710390091,-0.005661181639879942,88.0
AVAX,20241025,europe,mid,0.008775715716183186,-0.003684038296341896,0.005091677885502577,93.0
AVAX,20241025,us,calm,0.004059925209730864,-0.014331520535051823,-0.010271596722304821,42.0
AVAX,20241025,us,mid,0.02794560045003891,-0.08104802668094635,-0.05310242623090744,287.0
AVAX,20241025,us,stress,0.07881408929824829,-0.2577841281890869,-0.17897003889083862,609.0
AVAX,20241103,asia,calm,0.006609541364014149,-0.011121322400867939,-0.004511781502515078,63.0
AVAX,20241103,asia,mid,0.005833265837281942,-0.0013953978195786476,0.004437868017703295,55.0
