coin,date,touch_net_bp,touch_fills,as_net_bp,as_fills,diff_bp,n_opportunities,n_events,as_frac_quotes_outside_book,as_frac_quotes_at_deepest_level,as_mean_abs_inventory,k_per_bp,floor_half_spread_bp
ETH,20250725,-0.9969636109004167,17122,-0.617958823944899,2996,0.37900478695551776,817364,3635719,0.7860830670301114,0.801930963438566,0.3845472985474403,3.724264832034846,0.2667229085756266
HYPE,20241224,-1.7372467191326115,6636,-1.1745663209433337,1075,0.5626803981892778,542632,1348478,0.7709801486090021,0.7816393061964646,0.35104748013686676,0.7682963615937212,1.260980500412399
HYPE,20250420,-1.3492287261869913,1667,-0.9655965878826459,213,0.3836321383043454,441949,714531,0.4157934512805776,0.45236328173612794,0.36499727889954187,0.7682963615937212,1.260980500412399
HYPE,20250426,-1.397722091625244,1705,-2.505668244293745,168,-1.1079461526685008,439629,689223,0.3176416933368818,0.3549697585919036,0.2938710940449761,0.7682963615937212,1.260980500412399
HYPE,20250601,-1.0968821481028865,3256,-0.6543970636384693,478,0.44248508446441726,583118,1075404,0.7507005443152158,0.7745344853014313,0.3204360567140478,0.7682963615937212,1.260980500412399
HYPE,20250713,-1.4045227686979658,1732,-1.2215257268539264,444,0.18299704184403942,634208,988524,0.5984700602956758,0.6304461627730965,0.663216540783672,0.7682963615937212,1.260980500412399
HYPE,20250805,-0.6697090434748778,7420,-0.3073825106621905,945,0.3623265328126873,784250,1597524,0.7918846031240038,0.812281797896079,0.33996415996158413,0.7682963615937212,1.260980500412399
LINK,20240618,-0.7007758974588456,5295,-0.03356236744055171,323,0.6672135300182939,760035,1232945,0.43912977691816824,0.4719683961922806,0.40952660906312316,0.4891368134136471,1.9465426910115493
LINK,20241115,-0.5051189823080487,3168,0.3160329118444818,97,0.8211518941525305,788327,1138681,0.666916140129667,0.7028181198918723,0.41371293714491925,0.4891368134136471,1.9465426910115493
LINK,20250120,-0.7409816986333747,27126,-0.6033640269039399,4040,0.13761767172943484,839352,3407563,0.8823288679838732,0.8921173714961065,0.31140197116931795,0.4891368134136471,1.9465426910115493
LINK,20250511,-0.8001397151664039,3189,-1.8934694323444288,85,-1.0933297171780247,767516,1220578,0.45347588845053394,0.4882438932869152,0.33998917855205857,0.4891368134136471,1.9465426910115493
LINK,20250707,-0.7216632173026023,1377,0.8230119202978327,52,1.5446751376004348,746226,1012514,0.1483002468421095,0.18876586985712104,0.2707985988412312,0.4891368134136471,1.9465426910115493
LINK,20250810,-0.576835113416736,7218,0.2556315058460393,355,0.8324666192627752,825119,1929771,0.689188468572412,0.7298123058613364,0.2663048010096677,0.4891368134136471,1.9465426910115493
LTC,20231230,-0.8390556232537242,155,-1.0481933474648832,52,-0.20913772421115906,388225,447376,0.021631785691287268,0.030244059501577693,0.4271963038004057,0.6089731742854965,1.5781721805548685
LTC,20241224,-0.7030729955709801,1220,0.3619758803776036,85,1.0650488759485837,810984,988314,0.30888032316297237,0.34849639450346737,0.29943076104114363,0.6089731742854965,1.5781721805548685
LTC,20250805,-0.6687176221263985,5628,1.6697581558418746,190,2.338475777968273,831687,1616319,0.4370875100849238,0.4813950440490232,0.2643613190105052,0.6089731742854965,1.5781721805548685
LTC,20250808,-0.7809792824070979,2734,0.145409050828841,66,0.9263883332359389,811271,1278215,0.2522381546979986,0.2900960344940223,0.2106427751064279,0.6089731742854965,1.5781721805548685
OP,20231230,-1.5102254113503042,4705,-0.09947221242336149,466,1.4107531989269426,594995,1162252,0.7803981546063412,0.8011168161076984,0.31425739248087475,0.6929089810175174,1.3934977035518488
OP,20240204,-0.7785887432965528,936,-0.019846842398818145,105,0.7587419008977346,513855,667741,0.42708059666637477,0.4561656498428545,0.4517463407505262,0.6929089810175174,1.3934977035518488
OP,20241218,-0.961537802691045,4241,-1.279947083747228,666,-0.31840928105618294,808803,1367783,0.7518740657490143,0.7780986222850311,0.6504828910848236,0.6929089810175174,1.3934977035518488
OP,20250523,-0.6724706987512239,2798,-0.3413476083911087,67,0.33112309036011517,784708,1188672,0.5250424361673387,0.5710442610499702,1.0,0.6929089810175174,1.3934977035518488
OP,20250730,-0.6718908527949609,3700,0.17577556429042437,53,0.8476664170853853,796880,1180515,0.4750357644814778,0.5286379379580364,0.38202263354776855,0.6929089810175174,1.3934977035518488
SOL,20230507,-0.9697692722180835,1509,-1.236253908336241,270,-0.2664846361181574,556349,939259,0.2067344418701211,0.2325311989416715,0.37850704914738664,1.1844280462634216,0.8269549136911385
SOL,20230612,-1.5513344504630096,3973,-1.0738537874030105,525,0.47748066305999903,637368,1002611,0.4389708927966261,0.4726782643621895,0.3320207419759706,1.1844280462634216,0.8269549136911385
SOL,20240326,-0.6115973586308566,9328,-0.2885195111377859,908,0.3230778474930707,796355,1868635,0.861090217302585,0.8766479773467863,0.33800917879885467,1.1844280462634216,0.8269549136911385
SOL,20240712,-0.6000496138745984,4282,-0.5734498745674055,288,0.02659973930719295,819380,1378344,0.22904879298982156,0.2649991456955259,0.2681629100795521,1.1844280462634216,0.8269549136911385
SOL,20240805,-1.1741260730233525,67113,-0.5644567502072327,5870,0.6096693228161197,862228,6123757,0.8606888201264631,0.8725186377617057,0.23811898934347442,1.1844280462634216,0.8269549136911385
SOL,20241025,-0.9533111612922952,8603,-0.16345548322332806,769,0.7898556780689672,822680,2271313,0.26659454465891963,0.2996499246365537,0.3322173167150575,1.1844280462634216,0.8269549136911385
SOL,20241112,-0.6388802383190803,27833,-0.14661267782729204,1569,0.4922675604917882,857311,3090922,0.6708417365460142,0.6973111274671618,0.30141516495311454,1.1844280462634216,0.8269549136911385
SOL,20250123,-0.9810989599879897,25578,-0.3394745724718211,2441,0.6416243875161686,847753,3354946,0.6542908134798697,0.6809866789029352,0.3052714656700215,1.1844280462634216,0.8269549136911385
SOL,20250408,-0.6309545388653368,10406,-0.03989548514866377,220,0.591059053716673,852717,2028058,0.4808775947940524,0.523021705911809,0.195627381327901,1.1844280462634216,0.8269549136911385
SOL,20250526,-0.6804527674385086,5009,-0.7079438805995041,256,-0.027491113160995506,840794,1594581,0.1381640449384748,0.16789903353258942,0.32118033264849516,1.1844280462634216,0.8269549136911385
SOL,20250807,-0.4605897784752585,4025,0.5912783347423382,237,1.0518681132175967,849189,1631831,0.13728981416386693,0.16329050423403976,0.2779435086302665,1.1844280462634216,0.8269549136911385
SOL,20250815,-0.4745310698533224,8709,-0.3875570602729542,449,0.08697400958036816,854383,2403459,0.35241689031734014,0.3883609575565057,0.2987482678669567,1.1844280462634216,0.8269549136911385
SOL,20250817,-0.5980263640072819,3666,-0.10517642357416046,267,0.49284994043312147,830783,1647077,0.15605158025621613,0.1879377647351956,0.33892105946154377,1.1844280462634216,0.8269549136911385
SUI,20230621,-1.1849088106447716,2341,-0.1587499041915103,452,1.0261589064532612,591540,988779,0.8516178111370322,0.8571110998410928,1.063516673231481,0.6721084664552253,1.4351124448604893
SUI,20230913,-1.972676229399614,1057,-0.062157495143733706,80,1.9105187342558803,372997,448686,0.7618063952256988,0.7887288637710222,1.004068943446258,0.6721084664552253,1.4351124448604893
SUI,20231215,-1.331222317998863,375,-0.24592914399339916,61,1.0852931740054639,382443,474253,0.6119696268463536,0.630937159262949,1.1314795501310708,0.6721084664552253,1.4351124448604893
SUI,20240108,-1.0038151012802887,2660,-0.34810542519513155,184,0.6557096760851572,620769,861309,0.6231279268133557,0.6559034036815627,1.1523237086356617,0.6721084664552253,1.4351124448604893
SUI,20240913,-0.8568429201575788,2257,0.10856093799473596,168,0.9654038581523148,759979,1103813,0.3816131761535516,0.43333302630730586,1.0113605626183393,0.6721084664552253,1.4351124448604893
SUI,20240925,-0.666877048137041,4897,-0.41580780586955346,484,0.2510692422674875,794529,1467182,0.6934101838951127,0.7291483381978505,1.2361291382567978,0.6721084664552253,1.4351124448604893
SUI,20241007,-0.6331854178024937,13096,0.054469829283124584,1628,0.6876552470856183,796167,2227966,0.8197614319608826,0.8383812692563244,1.0829957737117346,0.6721084664552253,1.4351124448604893
SUI,20250622,-0.7432151585353637,7044,0.8423353062627277,252,1.5855504647980914,808977,1515186,0.8216945599195032,0.8479246010702406,1.108140085186938,0.6721084664552253,1.4351124448604893
SUI,20250701,-0.676321783317364,2845,1.0162142190175611,148,1.6925360023349252,763423,1124208,0.567612581753497,0.6331083815918567,1.0541037351475298,0.6721084664552253,1.4351124448604893
SUI,20250704,-0.5043054598029724,2808,0.601267119703382,217,1.1055725795063545,757415,1163789,0.5698448010667864,0.632545566169141,1.2060270908413073,0.6721084664552253,1.4351124448604893
SUI,20250802,-0.6637232049771976,3260,0.37348225201559915,326,1.0372054569927966,807631,1388810,0.7902594130240171,0.8195914966116952,1.0924345306679495,0.6721084664552253,1.4351124448604893
XRP,20231109,-1.0763013991277883,7256,2.102113294990556,432,3.178414694118344,713820,1818110,0.24692639601019864,0.2772624751337872,1.005865326020719,0.4368154119591452,2.1674862550005356
XRP,20241224,-0.6715799728981992,8036,-0.32241334906225677,194,0.3491666238359424,848108,1901411,0.7027896211331576,0.7615492366538223,1.028661646830216,0.4368154119591452,2.1674862550005356
XRP,20250701,-0.8115775585395472,3309,-0.03276985012395908,66,0.7788077084155881,841278,1452599,0.24994353828342117,0.3296977931195158,1.0092538743115187,0.4368154119591452,2.1674862550005356
XRP,20250811,-0.6824630798221054,8769,0.06767023017693692,242,0.7501333099990424,855234,2210073,0.8169921916107171,0.8791979738878483,1.0115658362989324,0.4368154119591452,2.1674862550005356
